date,merchant,amount
2023-01-10,APPLE,304.00
2022-08-18,SHELL,2249.00
2019-02-22,LYFT,2164.00
2019-09-02,SHELL,1008.04
2020-11-24,PANDA EXPRESS,2155.71
2021-05-11,TARGET,2412.90
2024-10-26,AMAZON,1993.30
2024-10-23,APPLE,927.33
2024-02-05,GOOGLE,2490.62
2022-04-21,APPLE,1694.70
2021-06-24,COSTCO,1659.38
2021-10-29,LYFT,-1697.04
2021-05-17,MCDONALDS,2032.48
2022-06-07,INSTACART,502.00
2021-02-23,INSTACART,1410.00
2019-02-06,NETFLIX,330.29
2021-06-17,STARBUCKS,1391.98
2023-01-07,AIRBNB,1312.07
2024-09-05,STARBUCKS,141.28
2019-05-09,TARGET,349.59
2019-02-04,SPOTIFY,1341.99
2023-09-27,STARBUCKS,1116.73
2019-12-06,DOORDASH,1959.55
2019-07-18,APPLE,1932.00
2020-05-20,UBER,-2062.69
2025-09-20,AIRBNB,445.55
2023-06-25,MCDONALDS,212.07
2023-01-23,APPLE,1199.32
2022-11-25,AMAZON,2271.98
2020-01-07,COSTCO,1890.04
2024-07-20,HOME DEPOT,802.00
2025-12-01,CAR WASH PRO,719.99
2022-04-15,NETFLIX,2236.00
2024-02-07,LOWE'S,225.00
2025-04-16,GYM MEMBERSHIP,1042.58
2022-06-08,MCDONALDS,428.00
2020-05-27,STARBUCKS,2220.59
2020-12-19,NETFLIX,-721.46
2023-04-16,AMAZON,413.06
2025-02-07,COSTCO,1440.19
2020-10-31,WALMART,1715.00
2025-09-05,GOOGLE,2187.00
2025-12-01,DOORDASH,2227.20
2025-03-08,DOORDASH,664.00
2024-03-26,CHIPOTLE,2086.08
2024-09-17,CITY UTILITIES,1981.00
2025-02-01,UBER,2304.00
2024-05-08,TARGET,-984.00
2022-12-01,UBER,1273.80
2019-10-12,TARGET,397.00
2024-02-23,AMAZON,628.00
2020-06-10,UBER,1274.28
2022-04-27,MCDONALDS,879.77
2024-08-16,COSTCO,1145.00
2024-09-02,SPOTIFY,2003.15
2019-11-08,CHIPOTLE,850.52
2025-06-14,LOWE'S,2320.00
2021-02-12,SUSHI HOUSE,63.67
2022-02-08,NETFLIX,830.01
2023-05-17,TARGET,1872.42
2019-11-29,COSTCO,2215.21
2023-08-20,STARBUCKS,56.00
2025-02-15,UBER,620.79
2019-05-27,GOOGLE,1652.11
2022-07-31,INSTACART,1153.00
2025-02-28,SPOTIFY,2277.00
2023-08-08,MCDONALDS,185.33
2019-04-29,GYM MEMBERSHIP,1721.00
2025-12-29,APPLE,903.68
2024-02-19,LYFT,1401.82
2022-12-01,STARBUCKS,246.00
2022-05-30,TARGET,2181.17
2025-06-07,CITY UTILITIES,1823.72
2022-02-15,INSTACART,2094.39
2020-03-27,AMAZON,1658.51
2020-01-08,AIRBNB,1175.21
2025-07-05,BEST BUY,2226.00
2023-02-13,MCDONALDS,2376.81
2025-05-04,BEST BUY,765.59
2025-01-30,DOORDASH,1158.64
2020-04-18,CAR WASH PRO,436.02
2023-10-09,LYFT,602.23
2024-05-18,AMAZON,1501.92
2020-01-12,NETFLIX,418.63
2023-04-21,NETFLIX,474.84
2024-09-25,LYFT,959.93
2024-11-14,DOORDASH,884.16
2021-01-10,LYFT,1797.49
2022-06-28,DOORDASH,51.75
2020-12-07,UBER,661.41
2020-06-07,LOWE'S,878.00
2022-03-17,COSTCO,2363.10
2020-11-06,APPLE,1819.43
2020-01-02,GOOGLE,492.65
2025-09-19,MCDONALDS,1616.18
2023-11-05,CHIPOTLE,989.36
2023-01-26,DOORDASH,498.99
2022-03-04,CAR WASH PRO,1793.00
2022-03-04,INSTACART,248.97
2020-04-08,AIRBNB,1938.00
