date,merchant,amount
1/26/2022,UBER-Lyft Ride ,998.86
18 Apr 2022,#potify.COM,101.65
07/30/2024,[]  POS  MCdonaLdS  INC,2367.15 USD
18-5-24,Wal-Mart (ONLINE) ,1095.44 USD
13-9-24,BEST BUY LTD + ,USD 551.00
19-12-23,SQ*Shell Gas LTD,523.90USD
Aug 7 2022,  ?  UBER-sTARbUcKs,712.05USD
08/24/2020,UBER-Target  Stope  LTD  ?,$1697.66
Dec 9th 22,PAYPAL*instacart.COM,343.45 USD
11/20/2020,[TRIP] uBER.COM,"2,162.89"
07/05/2024,SQ*AIRBNB,2398.18
7/6/2024,ACH  SHELL  OIL  (ONLINE),$ 201.72
Dec 15 2023,Uber *Trip [AUTO],"$2,010.05"
Apr 9 2020, SQ*oordAsh,USD 857.39 
Mar 1st 23,UBER-spotify  INC  .*UBR,USD768.15
08/18/2022,SQ*OORDASH *PMT,$785 
02/08/2020,UBER-Costco INC,$ 1287.85
27 Feb 2023,  ACH  Aple  Servic+es  LTD,1003.73 USD
11-10-23,Lyft.COM , USD 629
01/09/2023,UBER-netflix.com,516.45
20 Mar 24, + PAYPAL*netflix,$1056.08
Nov 7th 20,SQ*aPPlh SERVIcES [AUTO],"USD 1,876.49 "
Jul 14th 23,apple.com/bill,1406
Feb 08 2022,ACH Olive Garden *PMT,$403.93
Jun 27 2021,Wal-Mart INC,2249.38
Nov 11 2023,(EATS)  Lyft  [AUTO]  ,"$ 1,319.61"
24-01-22,A[]CH lYFT ,"$ -1,310.24"
15-7-23,.*UBR PAYPAL*AaPle sERvicES,1942.28USD
12-9-20,  ACH  LYFT.COM,USD 1277.53
2021-09-26,MCc  LTD,710.03 
12-6-22, shell oil,1078.32
2024-12-26,#COSTCO WHO[]LESALE [AUTO],537.50 USD
02/06/2020,UBER-Airbnb Pay (ONLINE),"$2,263.63"
Feb 10th 20,PAYPAL*TARGET STORE [AUTO],"USD1,266.76"
19 Jun 2020,CIty  uTiliTiEs,2380.34USD
